COMPANY,WEBSITE,ABOUT,CITY,STATE
Aclima,https://aclima.io,Hyperlocal air quality data and insights to improve human and planetary health,San Francisco,CA
Airtable,https://airtable.com,Collaborative database software,San Francisco,CA
Algolia,https://algolia.com,Hosted search API,San Francisco,CA
Amplitude,https://amplitude.com,Product analytics to help companies understand user behavior,San Francisco,CA
Andela,https://andela.com,Distributed software engineers,New York,NY
Anduril,https://anduril.com,Technology for military agencies and border surveillance,Irvine,CA
App Annie,https://appannie.com,Business intelligence solutions,San Francisco,CA
AppZen,https://appzen.com,AI platform for finance teams,San Jose,CA
Arctic Wolf,https://arcticwolf.com,Managed firebreak detection & response security service,Eden Prairie,MN
Attentive,https://attentivemobile.com,Personalized mobile messaging platform for innovative brands and organizations,New York,NY
Auth0,https://auth0.com,Identity management platform for application builders and developers,Bellevue,WA
Benchling ,https://benchling.com,SaaS for life sciences R&D,San Francisco,CA
Better,https://better.com ,Technology to make the process of financing a home more efficient,New York,NY
BetterCloud,https://bettercloud.com,SaaS operations management platform,New York,NY
Blend ,https://blend.com,White-label consumer lending ecosystem,San Francisco,CA
BlockFi,https://blockfi.com,Secured non-bank lender that offers crypto-asset-backed USD loans to crypto-asset owners,Jersey City,NJ
Bolt,https://bolt.com,Online checkout experience platform,San Francisco,CA
Braze,https://braze.com,Customer engagement platform,New York,NY
Brex,https://brex.com,Credit cards & cash management accounts for startups,San Francisco,CA
Bright Health,https://brighthealthplan.com,Health insurance service platform,Minneapolis,MN
Built,https://getbuilt.com,Construction vertical SaaS ,Nashville,TN
Calendly,https://calendly.com,Scheduling software,Atlanta,GA
Calm,https://calm.com,Application designed to help its users meditate and relax,San Francisco,CA
Cameo,https://cameo.com,Connects fans directly with their favorite pop culture personalities,Chicago,IL
CampusLogic,https://campuslogic.com,Tools used by colleges to help students manage scholarships & loans,Chandler,AZ
Capsule,https://capsule.com,Online pharmacy,New York,NY
Carbon,https://carbon3d.com,3D manufacturing,Redwood City,CA
Carta,https://carta.com,Cap table management & compliance ,Palo Alto,CA
Cedar,https://cedar.com,Patient payments platform,New York,NY
Cerebras,https://cerebras.net,AI chips,Los Altos,CA
Chainalysis ,https://chainalysis.com,System for blockchain analysis,New York,NY
Chartboost,https://chartboost.com ,In-app monetization and programmatic advertising platform ,San Francisco,CA
ChowNow,https://chownow.com,Online ordering system,Los Angeles,CA
Coalition,https://coalitioninc.com,Cybersecurity tools,San Francisco,CA
Cockroach Labs,https://cockroachlabs.com/,Distributed SQL database,New York,NY
Code42 ,https://code42.com,"Data loss protection, visibility, and recovery solutions ",Minneapolis,MN
CommonBond,https://commonbond.co,Online education lending platform,New York,NY
Confluent,https://confluent.io,Data streaming platform,Mountain View,CA
Convoy,https://convoy.com,Connects shippers with nearby carriers,Seattle,WA
Coursera,https://coursera.org,Online education platform,Mountain View,CA
Current,https://current.com,Challenger bank,New York,NY
Cybereason,https://cybereason.com,Endpoint detection and response platform,Boston,MA
Dataiku,https://dataiku.com,Enterprise artificial intelligence and machine-learning platform,New York,NY
Dave,https://dave.com,Challenger bank,Los Angeles,CA
Deliverr,https://deliverr.com,Delivery platform,San Francisco,CA
Digit,https://digit.co,Financial health app,San Francisco,CA
Discord,https://discordapp.com,"Voice, video, and text chat app for gamers",San Francisco,CA
Domino,https://dominodatalab.com/,Data science collaboration platform,San Francisco,CA
Dremio,https://dremio.com,Data lake query engine,Santa Clara,CA
DuckDuckGo,https://duckduckgo.com,Secure browser extension & search,Paoli,PA
Duolingo,https://duolingo.com,Digital language learning,Pittsburgh,PA
Earnin,https://earnin.com,Access to your pay whenever you need it,Palo Alto,CA
Eightfold,https://eightfold.ai,AI-powered talent intelligence platform,Mountain View,CA
Envoy,https://envoy.com,Visitor management,San Francisco,CA
Everlaw,https://everlaw.com,"Platform for document analysis to law firms, government, and corporations",Oakland,CA
Faire,https://faire.com,Curated marketplace for local retailers to discover the best brands to stock their stores,San Francisco,CA
Farmers Business Network,https://fbn.com,Network that connects farmers to share knowledge,San Carlos,CA
Fictiv,https://fictiv.com,"Platform that enables users to design, develop, and deliver fabricated parts",San Francisco,CA
Figma ,https://figma.com,Multi-user design tools,San Francisco,CA
Figure,https://figure.com,Home equity loans,San Francisco,CA
FinancialForce,https://financialforce.com,Back-office applications for Salesforce CRM,San Francisco,CA
Fivetran,https://fivetran.com,Secure data pipeline for analytics,Oakland,CA
FLEXE,https://flexe.com,On-demand warehousing,Seattle,WA
Flywire,https://flywire.com,Service for complex payment problems,Boston,MA
ForgeRock,https://forgerock.com,Provider of digital identity solutions,San Francisco,CA
Forter,https://forter.com,"Fraud solution that helps retailers grow sales, lower costs, and improve customer experience",New York,NY
Freshworks ,https://freshworks.com,Cloud-based customer support software ,San Mateo,CA
Front,https://frontapp.com,Customer communication hub,San Francisco,CA
Fullstory,https://fullstory.com,Customer experience data app,Atlanta,GA
Fundbox,https://fundbox.com,Financial factoring services,San Francisco,CA
Fuze,https://fuze.com,Unified communications services,Boston,MA
G2,https://g2.com,Collects and publishes business products reviews,Chicago,IL
GitLab,https://about.gitlab.com,DevOps platform,San Francisco,CA
Glossier,https://glossier.com,Direct-to-consumer beauty products,New York,NY
GOAT ,https://goat.com,"Marketplace for authentic sneakers, apparel, and accessories",Culver City,CA
Gong,https://gong.io,Sales call analysis tools,San Francisco,CA
Grafana,https://grafana.com,Open-source analytics and monitoring software,New York,NY
Grammarly,https://grammarly.com,AI-powered products that help people communicate more effectively,San Francisco,CA
Greenhouse,https://greenhouse.io,Recruiting software,New York,NY
Greenlight,https://greenlightcard.com,Smart debit card used to help parents monitor their child's spending habits,Atlanta,GA
Guild Education,https://guildeducation.com,Education platform for working adults,Denver,CO
Gusto,https://gusto.com,Small company payroll & benefits,San Francisco,CA
Handshake,https://joinhandshake.com,Recruiting marketplace for college students,San Francisco,CA
Harness,https://harness.io,DevOps platform,San Francisco,CA
HashiCorp ,https://hashicorp.com,Cloud infrastructure provisioning and security,San Francisco,CA
Health IQ,https://healthiq.com,Insurance for the health-conscious,Mountain View,CA
Highspot,https://highspot.com,Content management for sales,Seattle,WA
Hippo Insurance,https://hippo.com,Home insurance,Palo Alto,CA
HireVue,https://hirevue.com/,Intelligent hiring platform,South Jordan,UT
Hyperscience,https://hyperscience.com,"Software-defined, input-to-outcome automation",New York,NY
Ibotta,https://ibotta.com,Tools to encourage consumers to learn about their favorite brands,Denver,CO
Imply,https://imply.io,Real-time analytics solution based on Apache Druid,Burlingame,CA
inDriver,https://indriver.com,Ride-hailing service,Mountain View,CA
Innovium,https://innovium.com,Networking solutions for data centers,San Jose,CA
InVision,https://invisionapp.com,Design collaboration platform ,New York,NY
Ionic Security ,https://ionicsecurity.com,Data security platform,Atlanta,GA
ipsy,https://ipsy.com,Beauty products sampling service,San Mateo,CA
Iterable,https://iterable.com,Email management platform,San Francisco,CA
Juniper Square,https://junipersquare.com,Private equity fundraising platform,San Francisco,CA
Justworks,https://justworks.com,"Payroll, benefits & compliance for SMBs",New York,NY
Komodo Health,https://komodohealth.com,Healthcare & life sciences data platform,San Francisco,CA
